gene,stress,reasonable_term
Solyc02g065710,drought,true
Solyc02g067310,drought,true
Solyc02g067320,drought,true
Solyc02g067340,drought,true
Solyc02g070580,drought,true
Solyc02g071210,drought,true
Solyc02g071340,drought,true
Solyc02g071350,drought,true
Solyc02g071610,drought,true
Solyc02g071620,drought,true
Solyc02g071690,drought,true
Solyc02g071700,drought,true
Solyc02g071710,drought,true
Solyc02g071720,drought,true
Solyc02g071740,drought,true
Solyc02g071990,drought,true
Solyc02g072000,drought,true
Solyc02g072120,drought,true
Solyc02g072240,drought,true
Solyc02g077430,drought,true
Solyc02g077450,drought,true
Solyc02g077680,drought,true
Solyc02g078320,drought,true
Solyc02g078860,drought,true
Solyc02g079250,drought,true
Solyc02g079270,drought,true
Solyc02g079280,drought,true
Solyc02g079520,drought,true
Solyc02g079720,drought,true
Solyc02g079760,drought,true
Solyc02g081060,drought,true
Solyc02g081240,drought,true
Solyc02g081340,drought,true
Solyc02g081390,drought,true
Solyc02g081690,drought,true
Solyc02g082490,drought,true
Solyc02g083510,drought,true
Solyc02g083670,drought,true
Solyc02g083690,drought,true
Solyc02g083800,drought,true
Solyc02g084240,drought,true
Solyc02g084410,drought,true
Solyc02g084640,drought,true
Solyc02g084840,drought,true
Solyc02g084930,drought,true
Solyc02g084980,drought,true
Solyc02g085150,drought,true
Solyc02g085730,drought,true
Solyc02g086530,drought,true
Solyc02g086710,drought,true
Solyc02g086870,drought,true
Solyc02g087210,drought,true
Solyc02g087960,drought,true
Solyc02g088180,drought,true
Solyc02g088910,drought,true
Solyc02g089570,drought,true
Solyc02g089590,drought,true
Solyc02g089620,drought,true
Solyc02g089630,drought,true
Solyc02g090390,drought,true
Solyc02g090820,drought,true
Solyc02g090890,drought,true
Solyc02g090970,drought,true
Solyc02g090980,drought,true
Solyc02g090990,drought,true
Solyc02g091510,drought,true
Solyc02g091830,drought,true
Solyc02g091920,drought,true
Solyc02g091930,drought,true
Solyc02g092930,drought,true
Solyc02g093130,drought,true
Solyc02g094270,drought,true
Solyc03g005330,drought,true
Solyc03g005570,drought,true
Solyc03g005860,drought,true
Solyc03g005900,drought,true
Solyc03g005910,drought,true
Solyc03g005990,drought,true
Solyc03g006000,drought,true
Solyc03g006550,drought,true
Solyc03g006710,drought,true
Solyc03g006930,drought,true
Solyc03g006940,drought,true
Solyc03g006950,drought,true
Solyc03g006960,drought,true
Solyc03g007230,drought,true
Solyc03g007770,drought,true
Solyc03g007890,drought,true
Solyc03g019820,drought,true
Solyc03g025810,drought,true
Solyc03g026130,drought,true
Solyc03g026270,drought,true
Solyc03g026280,drought,true
Solyc03g031880,drought,true
Solyc03g033500,drought,true
Solyc03g034030,drought,true
Solyc03g058330,drought,true
Solyc03g059490,drought,true
Solyc03g065250,drought,true
Solyc03g065340,drought,true
Solyc03g071560,drought,true
Solyc03g083310,drought,true
Solyc03g083320,drought,true
Solyc03g083350,drought,true
Solyc03g093270,drought,true
Solyc03g093280,drought,true
Solyc03g093290,drought,true
Solyc03g093610,drought,true
Solyc03g095900,drought,true
Solyc03g095977,drought,true
Solyc03g096030,drought,true
Solyc03g096040,drought,true
Solyc03g096290,drought,true
Solyc03g096670,drought,true
Solyc03g097050,drought,true
Solyc03g097270,drought,true
Solyc03g097310,drought,true
Solyc03g097420,drought,true
Solyc03g097920,drought,true
Solyc03g097940,drought,true
Solyc03g098020,drought,true
Solyc03g098060,drought,true
Solyc03g112340,drought,true
Solyc03g112500,drought,true
Solyc03g113010,drought,true
Solyc03g113390,drought,true
Solyc03g113800,drought,true
Solyc03g114760,drought,true
Solyc03g115850,drought,true
Solyc03g116100,drought,true
Solyc03g116350,drought,true
Solyc03g116530,drought,true
Solyc03g116610,drought,true
Solyc03g117130,drought,true
Solyc03g117150,drought,true
Solyc03g117480,drought,true
Solyc03g117640,drought,true
Solyc03g117720,drought,true
Solyc03g119370,drought,true
Solyc03g119490,drought,true
Solyc03g119690,drought,true
Solyc03g120150,drought,true
Solyc03g120170,drought,true
Solyc03g120330,drought,true
Solyc03g120350,drought,true
Solyc03g120390,drought,true
Solyc03g121470,drought,true
Solyc03g122190,drought,true
Solyc03g122310,drought,true
Solyc03g123370,drought,true
Solyc03g123510,drought,true
Solyc03g123800,drought,true
Solyc03g123980,drought,true
Solyc03g124110,drought,true
Solyc03g160280,drought,true
Solyc04g005160,drought,true
Solyc04g005380,drought,true
Solyc04g005390,drought,true
Solyc04g005670,drought,true
Solyc04g005720,drought,true
Solyc04g007960,drought,true
Solyc04g007980,drought,true
Solyc04g008110,drought,true
Solyc04g008850,drought,true
Solyc04g008870,drought,true
Solyc04g009440,drought,true
Solyc04g009520,drought,true
Solyc04g009850,drought,true
Solyc04g009860,drought,true
Solyc04g011390,drought,true
